#カテゴリー,#レベル,#Q,#A,#タグ
プロンプト基礎（4要素・心構え）,全レベル共通,11. フィードバックでAIを褒めるのは意味がありますか？,はい、意味があります。アウトプットが期待通りだった場合も「その要約の仕方は非常に分かりやすかったです。今後の要約もこのスタイルでお願いします」といった肯定的なフィードバックをすることで、次回依頼時のアウトプットが変わっていきます。,#AI活用 #プロンプト #基礎 #生成AI #要約
プロンプト基礎（4要素・心構え）,全レベル共通,12. 小規模な組織でもAI導入のメリットはありますか？,はい、小規模組織こそAIドリブン経営の恩恵を大きく受けられます。限られた人的リソースで多くの業務をカバーする必要があるため、AIによる業務効率化の効果が特に顕著に現れます。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,13. AI、生成AI、LLMなど、言葉の違いは何ですか？,AIは最も広い概念で、予測分析や機械学習（ML）なども含みます。生成AI（Generative AI）は、ChatGPTに代表される、テキストや画像を生成する能力を持つAIです。LLM（大規模言語モデル）は、その生成AIの技術的な基盤となるモデルです。,#AI活用 #ChatGPT #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,14. AIの出力結果をそのままクライアントに提出していいですか？,いいえ、出力内容はあくまで「優秀なアシスタントが作成した下書き」と捉え、必ず社内レビューを通し、内容の正確性・適切性を確認してください。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,15. ハルシネーション（AIの嘘）を防ぐにはどうすれば良いですか？,情報収集を依頼する際は、必ずプロンプトに**「公的な情報源や信頼できるレポートを基に、参考URLを付けて回答してください」**という指示を徹底的に加えましょう。,#AI活用 #ハルシネーション #プロンプト #参考URL #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,16. どのAIツールを使っても安全ですか？,当社ではセキュリティ基準を満たし、入力情報がモデルの学習に使用されないことが明確な、社内指定の安全な生成AIのみを利用対象としています。推奨ツールについては情報システム部にご確認ください。,#AI活用 #セキュリティ #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,17. AIの回答が期待通りでなかったら、どうすればいいですか？,諦めずに、その回答に対して具体的な修正指示を与え、対話を繰り返してください。このフィードバックを重ねることで、AIはあなたの意図を学習し、精度を高めていきます。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,18. AIが出力する情報の信頼性を高めるために、プロンプトに必ず含めるべきことは何ですか？,「公的な情報源や信頼できるレポートを基に、参考URLを付けて回答してください」といった一文をプロンプトに加えて、出典の明記を義務付けます。,#AI活用 #プロンプト #出典 #参考URL #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,19. AIが出力した内容をクライアントへの最終成果物として使う際のルールは何ですか？,AIの出力内容はあくまで「優秀なアシスタントが作成した下書き」とみなし、最終成果物は必ずプロジェクトリーダーまたは上長が確認し、内容の正確性・適切性を確認・調整したうえで使用・納品します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,20. AIの回答が期待通りでなかった場合、チャットを新しく作り直すべきですか？,いいえ、期待外れの回答は「対話の始まり」と捉え、具体的な修正指示（フィードバック）を与え、対話を繰り返すことで調整します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,21. AIに肯定的なフィードバック（例：「その要約は分かりやすかった」）を与えることに意味はありますか？,はい、非常に大切です。肯定的なフィードバックをすることで、AIはあなたの好みや意図を学習し、次回以降の依頼時のアウトプットが変わっていきます。,#AI活用 #プロンプト #基礎 #生成AI #要約
プロンプト基礎（4要素・心構え）,全レベル共通,22. AIを最大限に活用する上で、人が集中すべき活動は何ですか？,経営幹部の見解では、AIは人間の活動を支援・強化し続ける存在であり、人は「創造性」「共感」「戦略的思考」といった競争上の差別化要因に集中すべきであるとされています。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,23. 提案書などで利用する市場情報について、AIが生成する「ハルシネーション（誤情報）」を回避し、信頼性を高めるには？,プロンプトに、**「厚生労働省や PMDAなどの公的機関のウェブサイトを参照し、参考にした URL を末尾にリストアップしてください」**といった出典の明記を義務付ける一文を加えます。,#AI活用 #ハルシネーション #プロンプト #出典 #基礎 #提案 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,24. 複数のメンバーから寄せられた多様なアイデアを、類似性に基づいて適切に分類・集約し、多様性を保つにはどう依頼しますか？,「これらのアイデアを確認し、類似したものをグループ化してください。過度に集約せず、アイデアの多様性を保持することが重要です」「チームの創造力」（技法21）を使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,25. 海外クライアントとのやり取りにおいて、文化的な背景やビジネス上の慣習を考慮したメールを作成するには？,メールドラフトを確認させ、**「[国名]のクライアントに適した、よりフォーマルなトーンに修正し、主要な技術的ポイントが明確に伝わるようにしてください」**と具体的に指示します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,全レベル共通,26. 調査実査中にクライアントから追加質問が届いた際、英語のフィードバックをモデレーター向けに即時翻訳させるには？,英語のフィードバックをChatGPTで即翻訳させることで、1インタビューにつき10分程度の削減効果が見込まれます。,#AI活用 #ChatGPT #プロンプト #基礎 #生成AI #翻訳
プロンプト基礎（4要素・心構え）,初心者,27. プロンプトが「いい感じにまとめて」といった曖昧な指示だと、なぜ期待通りの結果が出ないのですか？,AIは「言葉に対して忠実」だからこそ、曖昧な指示には曖昧に応える傾向があり、見当違いのアウトプットを出すことがあります。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,28. プロンプトの質を向上させるために、「指示」「文脈」「入力情報」「出力形式」の4要素に分けるのはなぜですか？,これらの4要素を含めることで、AIは何をすべきか、誰のために書くべきかを理解し、アウトプットの質が格段に上がるためです。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,29. 4つの必須要素のうち、「指示（Instruction）」の例にはどのようなものがありますか？,要約して、リストアップして、翻訳して、アイデアを出して、分類して、作成して、といったAIに「何をしてほしいか」を伝える言葉です。,#AI活用 #プロンプト #基礎 #生成AI #翻訳 #要約
プロンプト基礎（4要素・心構え）,初心者,30. 4つの必須要素のうち、「文脈（Context）」ではAIに何を伝えるべきですか？,「誰のためか？何のためか？」という情報、例えば「顧客向けの」「社内用の」「目的は〇〇です」といった背景情報です。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,31. なぜプロンプトの冒頭で「あなたは〇〇です」と役割（ペルソナ）を与えることが重要なのですか？,AIがその役割になりきり、特定の知識、視点、口調で回答を生成しようとするため、回答の質が劇的に向上する、最も簡単で効果的な応用テクニックの一つです。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,32. 情報収集をAIに依頼するとき、回答の信頼性を高めるプロンプトのコツは？,必ずプロンプトに**「公的な情報源や信頼できるレポートを基に、参考URLを付けて回答してください」**という一文を加えましょう。,#AI活用 #プロンプト #参考URL #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,33. 自分の書いたプロンプトの失敗を改善するための分析フレームワークはありますか？,プロンプトを「指示」「文脈」「入力情報」「出力形式」の4要素に照らして失敗の原因を体系的に分析するフレームワークがあります。例えば、翻訳タスクで不自然な訳文が出た場合、原因は「ターゲット読者が誰であるか」という【文脈】の欠如にある、といった特定が可能です,#AI活用 #プロンプト #出力形式 #基礎 #生成AI #翻訳
プロンプト基礎（4要素・心構え）,初心者,34. 良いプロンプトを作成するための4つの必須要素は何ですか？,1. 【指示】（何をしてほしいか）2. 【文脈】（どんな背景か）3. 【入力情報】（どの情報を使うか）4. 【出力形式】（どんな形でほしいか）の4つです。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,35. AIを効果的に使うための心構えを教えてください。,AIを「非常に優秀で素直な新入社員」だと捉えてください。「目的」「背景」「誰に向けたものか」「どのような形式で仕上げてほしいか」を具体的に、丁寧に伝えることで、期待を超える成果が得られます。,#AI活用 #プロンプト #基礎 #心構え #生成AI
プロンプト基礎（4要素・心構え）,初心者,36. 回答の質を劇的に向上させる簡単なテクニックはありますか？,AIに特定の「役割（ペルソナ）」を与えることです。プロンプトの冒頭で「あなたは〇〇です」と定義するだけで、AIはその役割になりきり、特定の知識、視点、口調で回答を生成しようとします。プロンプトの冒頭で「あなたは20年の経験を持つベテランのマーケットアナリストです」と定義するだけで、AIはその視点、知識、口調で回答を生成しようとします。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,37. 自分のアイデアの弱点や、上層部からの指摘事項を事前に確認する方法はありますか？,アイデアの潜在的な問題や障害を洗い出す「リスクの検証」（技法30）や、企画の上層部からの指摘事項を予測する「ダメ出しの模擬」（技法31）といったプロンプトを使用できます,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,38. 「良いプロンプト」とは、具体的にどんな指示ですか？,AIが「目的」「背景」「誰に向けたものか」「どのような形式で仕上げてほしいか」を具体的に理解できるように工夫された指示です。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,39. プロンプトに必ず入れるべき4つの必須要素は何ですか？,1. 指示 (Instruction) 2. 文脈 (Context) 3. 入力情報 (Input Data) 4. 出力形式 (Output Format) の4つです。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,40. なぜプロンプトで「箇条書きで」や「丁寧な口調で」といった形式を指示する必要があるのですか？,出力形式を具体的に指示することで、AIの回答の質が格段に上がります。また、後続の業務に利用しやすい形式で出力させるためです。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,41. 翻訳の精度を上げるために、プロンプトで工夫すべきことは何ですか？,単に「翻訳して」と頼むのではなく、**「誰が読むのか」**という文脈（例：「日本の呼吸器内科の医師を対象とした」「クライアントに適したフォーマルなトーンで」など）を明確に伝えることが重要です。これにより、ターゲット読者に最適化された自然な表現になります。,#AI活用 #プロンプト #基礎 #生成AI #翻訳
プロンプト基礎（4要素・心構え）,初心者,42. アイデア出しや企画の壁打ちにAIを使えますか？,はい、AIを「創造的なブレストパートナー」として活用することができます。リスクとなりうるポイントを洗い出す「リスクの検証」（技法30）や、上層部からの指摘事項を予測する「ダメ出しの模擬」（技法31）といったプロンプトを使用できます。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,43. AIスキルを上げるために、次に何を学べばいいですか？,まず、全ての業務に対して「3ステップ指示」（目的→入力→出力フォーマット）を適用し、基本的なプロンプトの型を安定させることが推奨されています。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,44. 自分が作った良いプロンプトは、チームで共有したほうがいいですか？,はい、業務の中で発見した便利なプロンプトを共有し合う「プロンプト・ライブラリ」の仕組みを作ることで、組織全体の生産性が飛躍的に向上すると考えられています,#AI活用 #プロンプト #ライブラリ #基礎 #生成AI #生産性
プロンプト基礎（4要素・心構え）,初心者,45. 市場調査の初期段階で、まだ満たされていない顧客ニーズに基づいた斬新な提案アイデアを出すには、どのツールが適していますか？,ChatGPTは汎用性が高く柔軟性に富んだ「クリエイティブ・パートナー」であり、創造的なアイデア出しに適しています。プロンプトで「経験豊富なマーケットリサーチ戦略家」といった役割を与えることが推奨されます。,#AI活用 #ChatGPT #プロンプト #基礎 #市場調査 #提案 #生成AI
プロンプト基礎（4要素・心構え）,初心者,46. 提案書作成において、アイデアの潜在的な問題や障害を事前に洗い出すためのプロンプト技法はありますか？,アイデアの潜在的な問題や障害を洗い出すために「リスクの検証」（技法30）プロンプトを使用できます。,#AI活用 #プロンプト #基礎 #提案 #生成AI
プロンプト基礎（4要素・心構え）,初心者,47. 自分のプロンプトがうまく機能しなかった場合、どこに原因があるかを分析するフレームワークはありますか？,プロンプトの失敗を「指示」「文脈」「入力情報」「出力形式」の4要素に体系的に照らして分析するフレームワークがあります。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,48. 自分の業務で使える優れたプロンプトを見つけたら、どうすべきですか？,その便利なプロンプトを「プロンプト・ライブラリ」の仕組みを通じてチームや部署内で共有します。成功事例を共有することで、組織全体の生産性が飛躍的に向上します。,#AI活用 #プロンプト #ライブラリ #基礎 #生成AI #生産性
プロンプト基礎（4要素・心構え）,初心者,49. レポートやメールのドラフト作成時に、アウトプットの質を安定させるための基本的なプロンプト構成は何ですか？,優れたプロンプトには、【指示】、【文脈】、【入力情報】、**【出力形式】**の4つの必須要素を含めます。例えば、「丁寧なビジネスメールの文体で」といった形式を具体的に指示することが重要です。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,50. 長文の業界レポート（PDFなど）を、報告書に組み込むために、要点だけを抽出したい場合のプロンプトのコツは？,**「この調査の目的は『〇〇製品の利用実態と今後のニーズを探ること』です」**のように、文脈として調査の目的をAIに伝え、出力形式を「発見」「示唆」「引用」のように構造化するよう指示します。,#AI活用 #プロンプト #出力形式 #基礎 #報告書 #生成AI
プロンプト基礎（4要素・心構え）,初心者,51. クライアントとのコミュニケーションメールのトーンや言葉遣いを、よりプロフェッショナルなものにしたい場合は？,**「あなたはシード・プランニングのシニアコンサルタントで、フォーマルかつデータドリブンなトーンを重視します」**など、AIに役割（ペルソナ）を与え、応答スタイルを定義します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,52. 調査企画のブレインストーミングで、ありきたりなアイデアではなく、常識を打ち破る革新的な発想を得たい場合は？,「エネルギー、資金、時間、人材、法規制の制約がまったくないとしたら、もっとも理想的な〈アイデアを得たい対象を記入〉する手段は何だと思いますか？」「制約なき発想」（技法12）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,53. 既存のアイデアや企画案を、客観的に評価・改善するためのプロンプト技法は？,「アイデアの良いところを4つ、発展のために考慮すべきことを1つ、コメントしてください」「着想の良いところ」（技法19）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,54. 作成したアイデアを、誰向けの、何で、狙いは何かという具体的なプランに発展させるためのプロンプトは？,「このアイデアを『アイデアのタイトル1行』および『アイデアの詳細内容3行』という形式で記述してください。誰向けの、何で、狙いは何かが、なんとなくわかるようにしてください」「アイデアスケッチ」（技法24）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,55. 複雑な問題について、その解決を長年妨げている「根っこ」の要因を特定したい場合は？,「〈課題を記入〉という困りごとは、長年多くの人が困っているにもかかわらず、解決されないままでいました。これらの問題の解決を阻害する要因は何でしょうか」「阻害の要因」（技法40）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,56. クライアントへの提案書作成において、アイデアの潜在的な問題や障害を事前に洗い出すためのプロンプトは？,「提案された新規事業アイデアにはどのようなリスクが存在するか教えてください」「リスクの検証」（技法30）プロンプトを使用します。,#AI活用 #プロンプト #基礎 #提案 #生成AI
プロンプト基礎（4要素・心構え）,初心者,57. 上層部や審査部門が企画を評価する際に指摘されそうな弱点を事前に予測したい場合は？,「この企画に、上層部はどのように反応するか、指摘事項を教えてください。上層部が重視する評価軸は、一般的な大企業のものを援用してください」「ダメ出しの模擬」（技法31）プロンプトを使用できます。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,58. 提案コンセプトについて、競合他社が既に類似のアイデアを持っていないかを検証したい場合は？,「このアイデアと類似性の高いアイデアがすでにないか調べています。すでにある類似したものを5つ書き出してください。類似度合いの高さを1〜10点で示してください」「知らず盗用の回避」（技法32）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #提案 #生成AI
プロンプト基礎（4要素・心構え）,初心者,59. 自分のアイデアが実現した際に、クライアントや関係者がどのような反応を示すかを事前に予測し、対策を練りたい場合は？,「このお題に関する影響力のある人を同定してください。その人たちのアイデアへの反応はどのようなものになるか教えてください」「影響力の人」（技法29）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,60. 新規事業のアイデアを、市場、競合、収益構造といった観点からビジネスモデル案に整えたい場合は？,「〈ビジネスのアイデアを記入〉というアイデアを発展させるために、リーンキャンバスの各要素を考えてください」「新規事業構想の型」（技法26）のプロンプトを使用します,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,61. 自分のアイデアを実行するにあたり、実際に機能するかどうかを確認するためのプロトタイピング手順を具体的に作成させるには？,「このアイデアが、実際に機能するかどうかを確認するための、プロトタイピング作業手順を作成してください。ステップごとに注意すべき点と、達成すべき要件も示してください」「実証実験の手順」（技法37）プロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,62. プレゼン動画のシナリオ作成を効率化するために、ビジュアル指示まで含めたアウトプットを求めたい場合は？,「そのアイデアを効果的に見せる30秒ビデオのシナリオを描いてください。カットごとにビジュアルを差し込む場面について、画像生成AIへのプロンプトを示してください」「魅力的な見せ方」（技法36）のプロンプトを使用します。,#AI活用 #プロンプト #基礎 #生成AI
プロンプト基礎（4要素・心構え）,初心者,63. 自分が考案したプロンプトが、期待した結果を生まなかった場合、どこに原因があるかを体系的に分析するには？,**【指示】【文脈】【入力情報】【出力形式】**の4つのフレームワークに照らし、どの要素が不足していたかを分析することで、的確な改善策を導き出せます。,#AI活用 #プロンプト #出力形式 #基礎 #生成AI
共同編集・自動化（Canvas・Agent Mode）,上級者,01. ChatGPTの「Agent Mode（エージェントモード）」で何ができますか？,Agent Modeは、従来の会話や提案だけでなく、指示に基づいてウェブサイトの閲覧、フォーム入力、コード実行、資料作成などの実際の作業を自律的に実行できる機能です。,#AI活用 #AgentMode #ChatGPT #共同編集 #提案 #生成AI #自動化
共同編集・自動化（Canvas・Agent Mode）,中級者,02. AIとの共同編集に便利な機能はありますか？,ChatGPT Canvas機能があります。これは、チャット画面の横に専用の編集ウィンドウが開き、AIと人間が並行して長文のドキュメントやコードを編集することで、流れるような対話的セッションを通じて成果物を洗練させることが可能です,#AI活用 #Canvas #ChatGPT #プロンプト #共同編集 #生成AI #自動化
共同編集・自動化（Canvas・Agent Mode）,中級者,03. 長文のレポート構成をAIと人間で共同で洗練させるのに適した機能はありますか？,ChatGPTのCanvas機能が適しています。これはチャット画面の横に編集ウィンドウが開き、AIと人間が並行してドキュメントやコードを編集し、対話的セッションを通じて成果物を洗練させることができます。,#AI活用 #Canvas #ChatGPT #共同編集 #生成AI #自動化
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,01. AIが生成する「ハルシネーション（幻覚）」とは何ですか？,AIが時として、事実に基づかないにもかかわらず、正しいように見えるもっともらしい誤情報（誤答）を生成することです。,#AI活用 #ハルシネーション #ファクトチェック #品質管理 #生成AI
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,02. 初心者がAI活用を始める際、まず試すべき、リスクが低く効果の高いタスクは？,**「出典付きで要約する」ことや、「メール文を整える/整形する」**といった作業から始めることが推奨されています。,#AI活用 #ファクトチェック #出典 #品質管理 #生成AI #要約
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,03. クライアントへの提出物にAIの出力内容をそのまま使っても良いですか？,いいえ、出力内容は必ず社内レビューを通し、内容の正確性・適切性を確認してください。AIは正しいように見える誤答（ハルシネーション）を返す可能性があるため、最終的な文責は人が負います。,#AI活用 #ハルシネーション #ファクトチェック #品質管理 #生成AI
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,04. まずAIを何から使い始めればいいですか？,リスクが低く効果の高いタスク、例えば**「出典付きで要約する」ことや、「メール文を整える/整形する」**といった作業から始めることが推奨されています。,#AI活用 #ファクトチェック #出典 #品質管理 #生成AI #要約
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,05. AIは事実に基づいた正しい答えを返しますか？,いいえ、AIは時として事実に基づかない、もっともらしい誤情報（ハルシネーション/幻覚）を生成することがあります。AIは正しいように見える誤答を返す可能性があることを理解することが必要です。,#AI活用 #ハルシネーション #ファクトチェック #品質管理 #生成AI
品質管理（出典・検証・ハルシネーション対策）,全レベル共通,06. 自分の業務フローから、AIで代替しやすいタスクを特定し、AIとの協働を始めるにはどうしたら良いですか？,リスクが低く効果の高いタスク、例えば**「出典付きで要約する」や「メール整形」**といった作業から始めることが推奨されています,#AI活用 #ファクトチェック #出典 #品質管理 #生成AI #要約
学習とドキュメンテーション,中級者,01. 自分で書いた関数やクラスの仕様書（ドキュメンテーション）を自動生成できますか？,はい。「このPythonクラスの各メソッドについて、Docstringを生成してください。引数、返り値、各メソッドの役割を明確に記述してください」のように、コードを提示してドキュメント生成を依頼します。,#ドキュメンテーション #仕様書 #Python #Docstring #効率化
学習とドキュメンテーション,中級者,02. 新しいフレームワーク（例: Svelte）を学ぶための学習計画を立てさせることはできますか？,「JavaScriptの経験者が、WebフロントエンドフレームワークのSvelteを2週間で習得するための学習計画を立ててください。チュートリアル、作るべきサンプルアプリ、参考資料を含めてください」と依頼します。,#学習計画 #スキルアップ #フレームワーク #Svelte #キャリア
学習とドキュメンテーション,初心者,03. コードに出てくる'async/await'のような特定の概念が理解できない時、どう聞けばいいですか？,「JavaScriptの'async/await'が何を解決するための構文なのか、同期処理と比較しながら初心者にも分かるように、具体的なコード例を交えて説明してください」と依頼します。,#学習 #概念理解 #JavaScript #async #初心者
教育・文化・サポート体制,全レベル共通,01. 従業員がAI導入に抵抗感を持つ場合、どう対処すべきですか？,抵抗感は自然な反応ですが、AIは仕事を奪うものではなく、面倒な作業から解放し、より創造的な業務に集中できるツールであることを明確に伝えます。また、AIに興味を持つ従業員から「アンバサダー」を選出し、成功体験を共有することが効果的です。,#AI活用 #サポート #教育 #生成AI
教育・文化・サポート体制,全レベル共通,02. 社内でAI活用を広げるには、どのような教育アプローチが推奨されますか？,まず「一度使ってみる」「効果を体感する」機会を提供することが重要です。定期的なワークショップを開催し、使用実績がある社員がファシリテーターとなり、リアルな活用例を紹介することが推奨されます,#AI活用 #サポート #教育 #生成AI
教育・文化・サポート体制,全レベル共通,03. 自分の業務にAIをどう活かせるかイメージが湧きません。どうすればいいですか？,AI導入会議では、社員がAIと連携して働くための「新しい働き方」や「AIとの協働」の考え方を推進しており、部署を超えて学び合える場として、AI活用をテーマにしたカジュアルな勉強会や相談会を定期的に開催していくことが検討されています。,#AI活用 #サポート #勉強会 #教育 #生成AI #相談会
教育・文化・サポート体制,全レベル共通,04. 困った時や、技術的に詰まったときは誰に相談すればいいですか？,社内では、今後Teamsによりサポート窓口を開設することが検討されています。まずはAI導入会議にご相談ください。,#AI活用 #サポート #教育 #生成AI
業務活用（調査・分析・翻訳・スクリーナー）,全レベル共通,01. B3チームの事例で、生成AIはどのようなコスト削減・時短を実現しましたか？,コスト削減では、外注翻訳の一件あたり最大9〜12万円の削減、時短では、インタビューの書き起こしからの個票作成（1個票につき-2時間）、全文翻訳（1個票につき-4時間）、スクリーナーの国内適合性チェック（-20〜30分）などを達成しています。,#AI活用 #スクリーナー #個票 #書き起こし #業務活用 #生成AI #翻訳
業務活用（調査・分析・翻訳・スクリーナー）,全レベル共通,02. どのようなタスクがAIによる業務効率化に役立ちますか？,資料のたたき台作成、複雑な内容の要約や構造整理、定型的なメール文の作成、翻訳の補助など、多くのシーンで生成AIが役立ちます。,#AI活用 #業務活用 #生成AI #翻訳 #要約
業務活用（調査・分析・翻訳・スクリーナー）,全レベル共通,03. 実際にどれくらいの時間短縮効果があった事例がありますか？,社内B3チームの事例では、インタビューの書き起こしからの個票作成で1個票あたり約2時間の短縮、また報告書のテキストベース部分の下書き生成で案件により6〜10時間の工数削減を達成しています。,#AI活用 #個票 #報告書 #書き起こし #業務活用 #生成AI
業務活用（調査・分析・翻訳・スクリーナー）,全レベル共通,04. 翻訳を依頼する際、AIの出力品質を向上させるための「文脈」設定の具体例を教えてください。,単に翻訳を依頼するのではなく、「日本の呼吸器内科の医師を対象としたインタビュー調査で使用するもの」のように、ターゲット読者を明確に伝えることで、専門的かつ自然な表現を選択させることができます。,#AI活用 #業務活用 #生成AI #翻訳
業務活用（調査・分析・翻訳・スクリーナー）,全レベル共通,05. 医療分野など専門性の高いスクリーナー（調査対象者選別基準）を、日本の医療現場で使う自然な日本語に翻訳させるには？,**「このスクリーナーは、日本の呼吸器内科の医師を対象としたインタビュー調査で使用するものです。単なる直訳ではなく、医師が読んでも違和感のない、専門的かつ丁寧な表現にしてください」**といった文脈を詳細に伝えます。,#AI活用 #スクリーナー #業務活用 #生成AI #翻訳
顧客体験・ビジネス価値,全レベル共通,01. AIを活用する企業の多くが現在、どのような目的を重視していますか？,調査回答者のほぼ4分の3が、現在のAI実装の取り組みに注力する主な動機として、生産性の向上を挙げています。一方で、将来的にはイノベーションと収益成長がAI実装の主な目的となると考えられています。,#AI活用 #イノベーション #ビジネス価値 #生成AI #生産性 #顧客体験
顧客体験・ビジネス価値,全レベル共通,02. AIは顧客体験の向上にどのように貢献しますか？,AIによるデータ分析で、顧客ごとのニーズに応じたパーソナライズサービスを提供することで、顧客満足度やリピート率、ロイヤルティを高めることができます。例えば、Amazonは購買履歴や閲覧データから最適な商品をレコメンドし、売上を増加させています,#AI活用 #パーソナライズ #ビジネス価値 #生成AI #顧客体験
顧客体験・ビジネス価値,全レベル共通,03. AI時代の競争優位性の源泉は何ですか？,経営幹部の大多数は、人の創造性や戦略的思考が、今後も競争優位性の源泉であり続けると考えています。AIは人の能力を増強・強化し、人間が創造性、共感、戦略的思考といったより価値の高い活動に集中できるようにするツールです。,#AI活用 #ビジネス価値 #生成AI #顧客体験
顧客体験・ビジネス価値,全レベル共通,04. AIは最終的に私の仕事に取って代わるのですか？,いいえ、AIはあくまで業務をサポートする「道具」であり、最終的な判断や責任は常に人が担うという姿勢が大切です。経営幹部の見解では、今後も人の創造性や戦略的思考が競争優位性の源泉であり続けるとされています。,#AI活用 #ビジネス価値 #生成AI #顧客体験
高度な活用（テスト・DevOps）,上級者,01. Dockerを使ってWebアプリケーションの環境を構築するためのDockerfileを生成できますか？,はい。「Node.jsで作成されたWebアプリケーションを動かすためのDockerfileを作成してください。Node.jsのバージョンは18とし、依存パッケージのインストールとポート3000番の開放を行ってください」と、具体的な要件を伝えます。,#Docker #Dockerfile #DevOps #環境構築 #コンテナ
高度な活用（テスト・DevOps）,上級者,02. GitHub Actionsで、mainブランチにプッシュされたら自動でテストを実行するCIワークフローを作成してほしい。,「mainブランチへのプッシュをトリガーとして、Node.jsプロジェクトの'npm install'と'npm test'を自動実行するGitHub Actionsのワークフロー（YAMLファイル）を作成してください」と依頼します。,#CI/CD #GitHubActions #DevOps #自動化 #テスト
高度な活用（テスト・DevOps）,上級者,03. AWS Lambdaで特定の処理を行うサーバーレス関数のコードを生成できますか？,「S3バケットに画像がアップロードされたのをトリガーに、その画像のサムネイルを自動生成して別のバケットに保存するAWS Lambda関数をPythonで作成してください」と、トリガーと処理内容を明確に伝えます。,#AWS #Lambda #サーバーレス #クラウド #Python
高度な活用（テスト・DevOps）,中級者,04. 特定の関数に対するユニットテストのコードを生成させることはできますか？,"はい。「このPython関数'add(a, b)'に対するユニットテストを、pytestフレームワークを使って作成してください。正常系、異常系（例: 文字列が入力された場合）のテストケースを含めてください」と依頼します。",#テスト #ユニットテスト #pytest #Python #品質保証
